datetime,station_antwerp,station_paris,station_london
5/7/2019 2:00,,,23
5/7/2019 3:00,50.5,25,19
5/7/2019 4:00,45,27.7,19
5/7/2019 5:00,,50.4,16
5/7/2019 6:00,,61.9,
5/7/2019 7:00,,72.4,26
5/7/2019 8:00,,77.7,32
5/7/2019 9:00,,67.9,32
5/7/2019 10:00,,56,28
5/7/2019 11:00,,34.5,21
5/7/2019 12:00,,20.1,21
5/7/2019 13:00,,13,18
5/7/2019 14:00,,10.6,20
5/7/2019 15:00,,13.2,18
5/7/2019 16:00,,11,20
5/7/2019 17:00,,11.7,20
5/7/2019 18:00,,18.2,21
5/7/2019 19:00,,22.3,20
5/7/2019 20:00,,21.4,20
5/7/2019 21:00,,26.8,24
5/7/2019 22:00,,36.2,24
5/7/2019 23:00,,33.9,
5/8/2019 0:00,,35.8,24
5/8/2019 1:00,,34,19
5/8/2019 2:00,,22.1,19
5/8/2019 3:00,23,19.6,20
5/8/2019 4:00,20.5,15.3,20
5/8/2019 5:00,,13.5,19
5/8/2019 6:00,,15.5,19
5/8/2019 7:00,,19.3,29
5/8/2019 8:00,,21.7,34
5/8/2019 9:00,,19.5,36
5/8/2019 10:00,,17,33
5/8/2019 11:00,,19.7,28
5/8/2019 12:00,,33.4,27
5/8/2019 13:00,,21.4,26
5/8/2019 14:00,,15.1,26
5/8/2019 15:00,,14.3,24
5/8/2019 16:00,,25.3,27
5/8/2019 17:00,,26,28
5/8/2019 18:00,,38.6,31
5/8/2019 19:00,,29.3,40
5/8/2019 20:00,,27.8,25
5/8/2019 21:00,,41.3,29
5/8/2019 22:00,,38.3,26
5/8/2019 23:00,,48.9,
5/9/2019 0:00,,32.2,25
5/9/2019 1:00,,25.2,30
5/9/2019 2:00,,14.7,
5/9/2019 3:00,20,10.6,31
5/9/2019 4:00,20.5,10,31
5/9/2019 5:00,,10.4,33
5/9/2019 6:00,,15.3,33
5/9/2019 7:00,,34.5,33
5/9/2019 8:00,,50.7,33
5/9/2019 9:00,,49,35
5/9/2019 10:00,,32.2,36
5/9/2019 11:00,,32.3,28
5/9/2019 12:00,,43.1,27
5/9/2019 13:00,,34.2,30
5/9/2019 14:00,,35.1,27
5/9/2019 15:00,,21.3,34
5/9/2019 16:00,,24.6,97
5/9/2019 17:00,,23.9,67
5/9/2019 18:00,,27,60
5/9/2019 19:00,,29.9,58
5/9/2019 20:00,,24.4,62
5/9/2019 21:00,,23.8,59
5/9/2019 22:00,,29.2,65
5/9/2019 23:00,,34.5,59
5/10/2019 0:00,,29.7,59
5/10/2019 1:00,,26.7,52
5/10/2019 2:00,,22.7,52
5/10/2019 3:00,10.5,19.1,41
5/10/2019 4:00,11.5,14.1,41
5/10/2019 5:00,,15,40
5/10/2019 6:00,,20.5,40
5/10/2019 7:00,,37.8,39
5/10/2019 8:00,,47.4,36
5/10/2019 9:00,,57.3,39
5/10/2019 10:00,,60.7,34
5/10/2019 11:00,,53.4,31
5/10/2019 12:00,,35.1,29
5/10/2019 13:00,,23.2,28
5/10/2019 14:00,,25.3,26
5/10/2019 15:00,,22,25
5/10/2019 16:00,,29.3,25
5/10/2019 17:00,,29.6,24
5/10/2019 18:00,,30.8,26
5/10/2019 19:00,,37.8,26
5/10/2019 20:00,,33.4,29
5/10/2019 21:00,,39.3,29
5/10/2019 22:00,,43.6,29
5/10/2019 23:00,,37,31
5/11/2019 0:00,,28.1,31
5/11/2019 1:00,,26,27
5/11/2019 2:00,,24.8,27
5/11/2019 3:00,26.5,15.5,32
5/11/2019 4:00,21,14.9,32
5/11/2019 5:00,,,35
5/11/2019 6:00,,,35
5/11/2019 7:00,,,30
5/11/2019 8:00,,28.9,30
5/11/2019 9:00,,29,27
5/11/2019 10:00,,32.1,30
5/11/2019 11:00,,35.7,
5/11/2019 12:00,,36.8,
5/11/2019 13:00,,33.2,
5/11/2019 14:00,,30.2,
5/11/2019 15:00,,30.8,
5/11/2019 16:00,,17.8,28
5/11/2019 17:00,,18,26
5/11/2019 18:00,,19.5,28
5/11/2019 19:00,,32,31
5/11/2019 20:00,,33.1,33
5/11/2019 21:00,,31.2,33
5/11/2019 22:00,,24.2,34
5/11/2019 23:00,,21.1,37
5/12/2019 0:00,,27.7,37
5/12/2019 1:00,,26.4,35
5/12/2019 2:00,,22.8,35
5/12/2019 3:00,17.5,19.2,38
5/12/2019 4:00,20,17.2,38
5/12/2019 5:00,,16,36
5/12/2019 6:00,,16.2,36
5/12/2019 7:00,,19.2,38
5/12/2019 8:00,,20.1,44
5/12/2019 9:00,,15.9,32
5/12/2019 10:00,,14.6,26
5/12/2019 11:00,,11.7,26
5/12/2019 12:00,,11.4,21
5/12/2019 13:00,,11.4,20
5/12/2019 14:00,,10.9,19
5/12/2019 15:00,,8.7,21
5/12/2019 16:00,,9.1,22
5/12/2019 17:00,,9.6,23
5/12/2019 18:00,,11.7,24
5/12/2019 19:00,,13.9,22
5/12/2019 20:00,,18.2,22
5/12/2019 21:00,,19.5,22
5/12/2019 22:00,,24.1,21
5/12/2019 23:00,,34.2,22
5/13/2019 0:00,,46.5,22
5/13/2019 1:00,,32.5,22
5/13/2019 2:00,,25,22
5/13/2019 3:00,14.5,18.9,24
5/13/2019 4:00,14.5,18.5,24
5/13/2019 5:00,,18.9,33
5/13/2019 6:00,,25.1,33
5/13/2019 7:00,,38.3,39
5/13/2019 8:00,,45.2,39
5/13/2019 9:00,,41,31
5/13/2019 10:00,,32.1,29
5/13/2019 11:00,,20.6,27
5/13/2019 12:00,,12.8,26
5/13/2019 13:00,,9.6,24
5/13/2019 14:00,,9.2,25
5/13/2019 15:00,,10.1,26
5/13/2019 16:00,,10.7,28
5/13/2019 17:00,,10.6,29
5/13/2019 18:00,,12.1,30
5/13/2019 19:00,,13,30
5/13/2019 20:00,,15.5,31
5/13/2019 21:00,,23.9,31
5/13/2019 22:00,,28.3,31
5/13/2019 23:00,,30.4,31
5/14/2019 0:00,,27.3,31
5/14/2019 1:00,,22.8,23
5/14/2019 2:00,,20.9,23
5/14/2019 3:00,14.5,19.1,26
5/14/2019 4:00,11.5,19,26
5/14/2019 5:00,,22.1,30
5/14/2019 6:00,,31.6,30
5/14/2019 7:00,,38.6,33
5/14/2019 8:00,,46.1,34
5/14/2019 9:00,,41.3,33
5/14/2019 10:00,,28.8,30
5/14/2019 11:00,,19,31
5/14/2019 12:00,,12.9,27
5/14/2019 13:00,,11.3,25
5/14/2019 14:00,,10.2,25
5/14/2019 15:00,,11,25
5/14/2019 16:00,,15.2,29
5/14/2019 17:00,,13.4,32
5/14/2019 18:00,,15.3,33
5/14/2019 19:00,,17.7,30
5/14/2019 20:00,,17.9,28
5/14/2019 21:00,,23.3,27
5/14/2019 22:00,,28.4,25
5/14/2019 23:00,,29,26
5/15/2019 0:00,,30.9,26
5/15/2019 1:00,,24.3,22
5/15/2019 2:00,,18.8,
5/15/2019 3:00,25.5,17.2,22
5/15/2019 4:00,22.5,16.8,22
5/15/2019 5:00,,17.9,25
5/15/2019 6:00,,28.9,25
5/15/2019 7:00,,46.5,33
5/15/2019 8:00,,48.1,33
5/15/2019 9:00,,32.1,34
5/15/2019 10:00,,25.7,35
5/15/2019 11:00,,0,36
5/15/2019 12:00,,0,35
5/15/2019 13:00,,0,30
5/15/2019 14:00,,9.4,31
5/15/2019 15:00,,10,30
5/15/2019 16:00,,11.9,38
5/15/2019 17:00,,12.9,38
5/15/2019 18:00,,12.2,33
5/15/2019 19:00,,12.9,35
5/15/2019 20:00,,16.5,33
5/15/2019 21:00,,20.3,31
5/15/2019 22:00,,30.1,32
5/15/2019 23:00,,36,33
5/16/2019 0:00,,44.1,33
5/16/2019 1:00,,30.9,33
5/16/2019 2:00,,27.4,33
5/16/2019 3:00,28,26,28
5/16/2019 4:00,,26.7,28
5/16/2019 5:00,,27.9,26
5/16/2019 6:00,,37,26
5/16/2019 7:00,,52.6,33
5/16/2019 8:00,,,34
5/16/2019 9:00,,40,33
5/16/2019 10:00,,39.4,32
5/16/2019 11:00,,29.5,31
5/16/2019 12:00,,13.5,33
5/16/2019 13:00,,10.5,30
5/16/2019 14:00,,9.2,27
5/16/2019 15:00,,8.5,27
5/16/2019 16:00,,8.1,26
5/16/2019 17:00,,10.1,29
5/16/2019 18:00,,10.3,30
5/16/2019 19:00,,13.5,25
5/16/2019 20:00,,15.9,27
5/16/2019 21:00,,14.4,26
5/16/2019 22:00,,24.8,25
5/16/2019 23:00,,24.3,25
5/17/2019 0:00,,37.1,25
5/17/2019 1:00,,43.7,23
5/17/2019 2:00,,46.3,23
5/17/2019 3:00,,26.1,21
5/17/2019 4:00,,24.6,21
5/17/2019 5:00,,26.6,21
5/17/2019 6:00,,28.4,21
5/17/2019 7:00,,34,25
5/17/2019 8:00,,46.3,27
5/17/2019 9:00,,55,27
5/17/2019 10:00,,57.5,29
5/17/2019 11:00,,60.5,30
5/17/2019 12:00,,51.5,30
5/17/2019 13:00,,43.1,30
5/17/2019 14:00,,46.5,29
5/17/2019 15:00,,37.9,31
5/17/2019 16:00,,27,32
5/17/2019 17:00,,22.2,30
5/17/2019 18:00,,20.7,29
5/17/2019 19:00,,27.9,31
5/17/2019 20:00,,33.6,36
5/17/2019 21:00,,24.7,36
5/17/2019 22:00,,23.5,36
5/17/2019 23:00,,24.3,35
5/18/2019 0:00,,28.2,35
5/18/2019 1:00,,34.1,31
5/18/2019 2:00,,31.5,31
5/18/2019 3:00,41.5,37.4,31
5/18/2019 4:00,,29,31
5/18/2019 5:00,,16.1,29
5/18/2019 6:00,,16.6,29
5/18/2019 7:00,,20.1,27
5/18/2019 8:00,,22.1,29
5/18/2019 9:00,,27.4,35
5/18/2019 10:00,,20.4,32
5/18/2019 11:00,,21.1,35
5/18/2019 12:00,,24.1,34
5/18/2019 13:00,,17.5,38
5/18/2019 14:00,,12.9,29
5/18/2019 15:00,,10.5,27
5/18/2019 16:00,,11.8,28
5/18/2019 17:00,,13,30
5/18/2019 18:00,,14.6,42
5/18/2019 19:00,,12.8,42
5/18/2019 20:00,35.5,14.5,36
5/18/2019 21:00,35.5,67.5,35
5/18/2019 22:00,40,36.2,41
5/18/2019 23:00,39,59.3,46
5/19/2019 0:00,34.5,62.5,46
5/19/2019 1:00,29.5,50.2,49
5/19/2019 2:00,23.5,49.6,49
5/19/2019 3:00,22.5,34.9,49
5/19/2019 4:00,19,38.1,49
5/19/2019 5:00,19,36.4,49
5/19/2019 6:00,21,39.4,49
5/19/2019 7:00,26,40.9,38
5/19/2019 8:00,30.5,31.1,36
5/19/2019 9:00,30,32.4,33
5/19/2019 10:00,23.5,31.7,30
5/19/2019 11:00,16,33,27
5/19/2019 12:00,17.5,31,28
5/19/2019 13:00,17,32.6,25
5/19/2019 14:00,16,27.9,27
5/19/2019 15:00,14.5,21,31
5/19/2019 16:00,23,23.8,29
5/19/2019 17:00,33,31.7,28
5/19/2019 18:00,17.5,32.5,27
5/19/2019 19:00,18.5,33.9,29
5/19/2019 20:00,15.5,32.7,30
5/19/2019 21:00,26,51.2,32
5/19/2019 22:00,15,35.6,32
5/19/2019 23:00,12.5,23.2,32
5/20/2019 0:00,18.5,22.2,32
5/20/2019 1:00,16.5,18.8,28
5/20/2019 2:00,26,16.4,28
5/20/2019 3:00,17,12.8,32
5/20/2019 4:00,10.5,12.1,32
5/20/2019 5:00,9,12.6,26
5/20/2019 6:00,14,14.9,26
5/20/2019 7:00,20,25.2,31
5/20/2019 8:00,26,40.1,31
5/20/2019 9:00,38,46.9,29
5/20/2019 10:00,40,46.1,29
5/20/2019 11:00,30.5,45.5,28
5/20/2019 12:00,25,43.9,28
5/20/2019 13:00,25,35.4,28
5/20/2019 14:00,34.5,23.8,29
5/20/2019 15:00,32,23.7,32
5/20/2019 16:00,24.5,27.5,32
5/20/2019 17:00,25.5,26.5,29
5/20/2019 18:00,,32.4,30
5/20/2019 19:00,,24.6,33
5/20/2019 20:00,,32.2,32
5/20/2019 21:00,,21.3,32
5/20/2019 22:00,,21.6,34
5/20/2019 23:00,,20.3,47
5/21/2019 0:00,,20.7,47
5/21/2019 1:00,,19.6,35
5/21/2019 2:00,,16.9,35
5/21/2019 3:00,15.5,16.3,26
5/21/2019 4:00,,17.7,26
5/21/2019 5:00,,17.9,23
5/21/2019 6:00,,18.5,23
5/21/2019 7:00,,38,30
5/21/2019 8:00,,62.6,27
5/21/2019 9:00,,56,28
5/21/2019 10:00,,54.2,29
5/21/2019 11:00,,48.1,29
5/21/2019 12:00,,30.4,26
5/21/2019 13:00,,25.5,26
5/21/2019 14:00,,30.5,28
5/21/2019 15:00,,49.7,33
5/21/2019 16:00,,47.8,34
5/21/2019 17:00,,36.6,34
5/21/2019 18:00,,42.3,37
